dataset,tiers,baseline,method,mean_aurc_delta,ci_lo,ci_hi,excludes_zero,beats_baseline,mean_ci_lo,mean_ci_hi,mean_effect_excludes_zero,mean_effect_beats_baseline,n_seeds,n_boot_total
wine_quality_white,AC,signal_msp,oracle,-0.1257535753316284,-0.15999306261694382,-0.09410193844152862,True,True,-0.13409439552663782,-0.11776972163656206,True,True,10,15000
wine_quality_white,AC,signal_msp,random,0.13543094973834074,0.08226821223757899,0.19570224088030502,True,False,0.12222277524582757,0.14860107752652765,True,False,10,15000
wine_quality_white,AC,signal_msp,signal_calib_residual,0.0915555503922073,0.03256375411980619,0.17258384106916358,True,False,0.08175659313899333,0.10174678766736169,True,False,10,15000
wine_quality_white,AC,signal_msp,signal_energy,0.017153917670768865,-0.011859725807958,0.05006724289195807,False,False,0.010451217509971154,0.023603647588952052,True,False,10,15000
wine_quality_white,AC,signal_msp,signal_entropy,-0.00011902137067445581,-0.002387302595477616,0.0022203205456641263,False,False,-0.0006974415205810852,0.0004661188587328299,False,False,10,15000
wine_quality_white,AC,signal_msp,signal_knn_distance,0.040433861974140256,0.0021597082837345057,0.07975394210561049,True,False,0.029925044035438764,0.051812181260390444,True,False,10,15000
wine_quality_white,AC,signal_msp,signal_local_label_agreement,0.0903680751481525,0.05179395417709313,0.13199369917856513,True,False,0.07911402785952817,0.10177853461390855,True,False,10,15000
wine_quality_white,AC,signal_msp,signal_logitnorm_msp,0.0062123551610549,-0.009155399773965381,0.027224161805482285,False,False,0.002012690098683225,0.010425151973565699,True,False,10,15000
wine_quality_white,AC,signal_msp,signal_mahalanobis,0.11888459305572384,0.06795806971679094,0.17490525032200302,True,False,0.10570572139154595,0.13342602715828417,True,False,10,15000
wine_quality_white,AC,signal_msp,signal_margin_logit,0.0011022248807145908,-0.003312612591788797,0.005111528687106799,False,False,0.00011260961190364474,0.0020946344873377667,True,False,10,15000
wine_quality_white,AC,signal_msp,signal_margin_prob,0.0005252245508753178,-0.0013962403849003963,0.0024698417884460714,False,False,2.4260064771851404e-05,0.0010377471792240162,True,False,10,15000
wine_quality_white,AC,signal_msp,signal_temp_msp,-0.0030077428306437945,-0.013466512837114128,0.008622788945881888,False,False,-0.005105819841808109,-0.000978377863660517,True,True,10,15000
wine_quality_white,AC,signal_msp,signal_trust_score,-0.04319545046050174,-0.07493084452143357,-0.011396380635445626,True,True,-0.050554888152704675,-0.036011330136925444,True,True,10,15000
